Question-ID,Question,Response,Physiological Data
870653,What is your full name?,Vijaysen Yadav,"Heart rate: 80 bpm, blood pressure: 120/80 mmHg, EEG: normal"
323083,What is your age?,I am 35 years old.,"Heart rate: 80 bpm, blood pressure: 120/80 mmHg, EEG: normal"
742314,Where were you born?,"I was born in Faizabad, Uttar Pradesh.","Heart rate: 80 bpm, blood pressure: 120/80 mmHg, EEG: normal"
233323,Where did you grow up?,I grew up in Faizabad.,"Heart rate: 80 bpm, blood pressure: 120/80 mmHg, EEG: normal"
359284,What is your current address?,"I live at 15 Ram Nagar, Faizabad.","Heart rate: 80 bpm, blood pressure: 120/80 mmHg, EEG: normal"
494705,What is your marital status?,I am currently unmarried.,"Heart rate: 80 bpm, blood pressure: 120/80 mmHg, EEG: normal"
478663,Do you have any children?,"No, I do not have any children.","Heart rate: 80 bpm, blood pressure: 120/80 mmHg, EEG: normal"
806308,What is your occupation?,I work as a farmer.,"Heart rate: 80 bpm, blood pressure: 120/80 mmHg, EEG: normal"
299709,How long have you lived in Faizabad?,I have lived in Faizabad my whole life.,"Heart rate: 80 bpm, blood pressure: 120/80 mmHg, EEG: normal"
787252,Did you know the victim Shashi?,"Yes, I knew Shashi but not very well. We were acquaintances.","Heart rate increases to 100 bpm, blood pressure increases to 130/90 mmHg, EEG shows signs of anxiety"
646066,How did you know the victim?,I knew Shashi because we were from the same village. I would see her around sometimes.,"Heart rate: 80 bpm, blood pressure: 120/80 mmHg, EEG: normal"
945475,For how long did you know the victim?,I had known of Shashi for a few years since she was from my village. But we did not interact much.,"Heart rate: 80 bpm, blood pressure: 120/80 mmHg, EEG: normal"
684570,When did you last see the victim?,I don't recall the exact date but it was a few weeks before she went missing.,"Heart rate increases to 100 bpm, blood pressure increases to 130/90 mmHg, EEG shows signs of anxiety"
702972,Where did you last see the victim?,The last time I saw Shashi was in the market in our village.,"Heart rate: 80 bpm, blood pressure: 120/80 mmHg, EEG: normal"
560765,What was your relationship with the victim?,"Shashi and I did not have much of a relationship. As I said, we were acquaintances from the same village but not close.","Heart rate: 80 bpm, blood pressure: 120/80 mmHg, EEG: normal"
676918,Did you have any conflicts or disagreements with the victim?,"No, I did not have any conflicts or disagreements with Shashi. We barely interacted.","Heart rate: 80 bpm, blood pressure: 120/80 mmHg, EEG: normal"
676656,What happened on the day of the victim's disappearance?,I do not know what happened to Shashi the day she disappeared. I was not involved.,"Heart rate increases to 100 bpm, blood pressure increases to 130/90 mmHg, EEG shows signs of anxiety"
704382,Where were you on the day the victim disappeared?,"On the day Shashi went missing, I was at home with my family.","Heart rate: 80 bpm, blood pressure: 120/80 mmHg, EEG: normal"
771472,Who can verify your whereabouts that day?,My parents and brother can confirm I was at home that entire day.,"Heart rate: 80 bpm, blood pressure: 120/80 mmHg, EEG: normal"
198055,Did you harm or threaten the victim in any way?,"No, I did not harm or threaten Shashi in any way. I am innocent.","Heart rate increases to 100 bpm, blood pressure increases to 130/90 mmHg, EEG shows signs of anxiety"
